iter	Passed	Remaining
0	0	81
1	1	78
2	2	74
3	2	68
4	3	68
5	4	67
6	4	66
7	5	65
8	6	64
9	7	63
10	7	63
11	8	62
12	9	62
13	9	61
14	10	60
15	11	59
16	12	58
17	12	58
18	13	57
19	14	56
20	14	55
21	15	55
22	16	54
23	16	53
24	17	52
25	18	52
26	19	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	23	47
33	23	46
34	24	45
35	25	45
36	26	44
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	30	37
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	32
52	36	32
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	39	27
59	40	27
60	41	26
61	42	25
62	43	25
63	43	24
64	44	23
65	45	23
66	46	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
